🦥 Unsloth: Will patch your computer to enable 2x faster free finetuning.
==((====))==  Unsloth: Fast Llama patching release 2024.6
   \\   /|    GPU: NVIDIA A100-SXM4-80GB. Max memory: 79.256 GB. Platform = Linux.
O^O/ \_/ \    Pytorch: 2.3.0+cu121. CUDA = 8.0. CUDA Toolkit = 12.1.
\        /    Bfloat16 = TRUE. Xformers = 0.0.26.post1. FA = False.
 "-____-"     Free Apache license: http://github.com/unslothai/unsloth
GPU = NVIDIA A100-SXM4-80GB. Max memory = 79.256 GB.
49.473 GB of memory reserved.
{'loss': 2.4627, 'grad_norm': 0.9593897461891174, 'learning_rate': 2.491199670185008e-05, 'epoch': 22.98}
{'loss': 2.6928, 'grad_norm': 1.7612583637237549, 'learning_rate': 2.339555568810221e-05, 'epoch': 23.2}
{'loss': 2.6077, 'grad_norm': 1.8379324674606323, 'learning_rate': 2.192059733233408e-05, 'epoch': 23.43}
{'loss': 2.3875, 'grad_norm': 1.7287930250167847, 'learning_rate': 2.0487920350515212e-05, 'epoch': 23.65}
{'loss': 2.3897, 'grad_norm': 0.9876174926757812, 'learning_rate': 1.9098300562505266e-05, 'epoch': 23.87}
{'loss': 2.5179, 'grad_norm': 0.860770583152771, 'learning_rate': 1.775249047193377e-05, 'epoch': 24.09}
{'loss': 2.5129, 'grad_norm': 1.107103705406189, 'learning_rate': 1.6451218858706374e-05, 'epoch': 24.31}
{'eval_loss': 2.5587351322174072, 'eval_runtime': 48.4921, 'eval_samples_per_second': 1.67, 'eval_steps_per_second': 0.227, 'epoch': 24.31}
{'loss': 2.468, 'grad_norm': 0.6467225551605225, 'learning_rate': 1.5195190384357404e-05, 'epoch': 24.53}
{'loss': 2.4891, 'grad_norm': 0.5801959037780762, 'learning_rate': 1.3985085210463477e-05, 'epoch': 24.75}
{'loss': 2.5399, 'grad_norm': 0.7252124547958374, 'learning_rate': 1.2821558630323772e-05, 'epoch': 24.97}
{'loss': 2.4697, 'grad_norm': 2.195941209793091, 'learning_rate': 1.1705240714107302e-05, 'epoch': 25.19}
{'loss': 2.3945, 'grad_norm': 1.043847918510437, 'learning_rate': 1.0636735967658784e-05, 'epoch': 25.41}
{'loss': 2.5339, 'grad_norm': 0.9275899529457092, 'learning_rate': 9.616623005147951e-06, 'epoch': 25.64}
{'loss': 2.3981, 'grad_norm': 2.3506855964660645, 'learning_rate': 8.645454235739903e-06, 'epoch': 25.86}
{'loss': 2.4786, 'grad_norm': 0.5309607982635498, 'learning_rate': 7.72375556445577e-06, 'epoch': 26.08}
{'loss': 2.5308, 'grad_norm': 0.9912193417549133, 'learning_rate': 6.852026107385756e-06, 'epoch': 26.3}
{'loss': 2.4432, 'grad_norm': 0.5836471915245056, 'learning_rate': 6.030737921409169e-06, 'epoch': 26.52}
{'eval_loss': 2.520148277282715, 'eval_runtime': 48.5035, 'eval_samples_per_second': 1.67, 'eval_steps_per_second': 0.227, 'epoch': 26.52}
{'loss': 2.4274, 'grad_norm': 0.7076078653335571, 'learning_rate': 5.26033574856708e-06, 'epoch': 26.74}
{'loss': 2.4068, 'grad_norm': 0.7589088082313538, 'learning_rate': 4.541236775226809e-06, 'epoch': 26.96}
{'loss': 2.4521, 'grad_norm': 0.8942093849182129, 'learning_rate': 3.873830406168111e-06, 'epoch': 27.18}
{'loss': 2.43, 'grad_norm': 0.6890420913696289, 'learning_rate': 3.2584780537136207e-06, 'epoch': 27.4}
{'loss': 2.3791, 'grad_norm': 1.237688422203064, 'learning_rate': 2.6955129420176196e-06, 'epoch': 27.62}
{'loss': 2.3755, 'grad_norm': 0.8039800524711609, 'learning_rate': 2.1852399266194314e-06, 'epoch': 27.85}
{'loss': 2.3987, 'grad_norm': 0.5681755542755127, 'learning_rate': 1.7279353293586765e-06, 'epoch': 28.07}
{'loss': 2.3945, 'grad_norm': 0.8175935745239258, 'learning_rate': 1.323846788742078e-06, 'epoch': 28.29}
{'loss': 2.4255, 'grad_norm': 0.708026647567749, 'learning_rate': 9.731931258429638e-07, 'epoch': 28.51}
{'loss': 2.5119, 'grad_norm': 0.8374848365783691, 'learning_rate': 6.761642258056978e-07, 'epoch': 28.73}
{'eval_loss': 2.5118422508239746, 'eval_runtime': 48.4508, 'eval_samples_per_second': 1.672, 'eval_steps_per_second': 0.227, 'epoch': 28.73}
{'loss': 2.3615, 'grad_norm': 0.6281386613845825, 'learning_rate': 4.329209350195651e-07, 'epoch': 28.95}
{'loss': 2.4, 'grad_norm': 0.7297205924987793, 'learning_rate': 2.4359497401758024e-07, 'epoch': 29.17}
{'loss': 2.4214, 'grad_norm': 0.6707107424736023, 'learning_rate': 1.0828886614754341e-07, 'epoch': 29.39}
{'loss': 2.3625, 'grad_norm': 0.8289161920547485, 'learning_rate': 2.7075882053828605e-08, 'epoch': 29.61}
{'loss': 2.4383, 'grad_norm': 0.5975091457366943, 'learning_rate': 0.0, 'epoch': 29.83}
{'train_runtime': 46868.1472, 'train_samples_per_second': 0.463, 'train_steps_per_second': 0.029, 'train_loss': 3.613047801874302, 'epoch': 29.83}
46868.1472 seconds used for training.
781.14 minutes used for training.
Peak reserved memory = 72.965 GB.
Peak reserved memory for training = 23.492 GB.
Peak reserved memory % of max memory = 92.062 %.
Peak reserved memory for training % of max memory = 29.641 %.
